"Ref","PN"
"C1","HZA107M050G24T-F"
"C2","C24497"
"C3","C24497"
"C4","C24497"
"C8","C24497"
"C5","CL31B106KAHNFNE"
"C6","CL31B106KAHNFNE"
"C10","CL31B106KAHNFNE"
"C11","CL31B106KAHNFNE"
"C7","C1848"
"C9","C1848"
"C12","CGA3E2C0G1H472J080AA"
"D1","C78410"
"D2","C78410"
"D3","C78410"
"D4","C78410"
"D5","C78410"
"D6","C78410"
"D7","C78410"
"D8","C78410"
"D21","C78410"
"D22","C78410"
"D9","C364278"
"D10","C364278"
"D11","C364278"
"D12","C364278"
"D13","C364278"
"D14","C364278"
"D15","C364278"
"D16","C364278"
"D17","C364278"
"D18","C364278"
"D19","C364278"
"D20","C364278"
"D23","C364278"
"D24","C364278"
"D25","C364278"
"D26","C364278"
"IC1","C53670"
"J1","C60785"
"J2","284392-2"
"J3","54602-908LF"
"J4","54602-908LF"
"P1","C69809"
"P2","C69809"
"P3","C69809"
"P4","C69809"
"P5","C69809"
"P6","C69809"
"P7","C69809"
"P8","C69809"
"R1","RMCF0805JT1K00"
"R2","RMCF0805JT1K00"
"R3","RMCF0805JT1K00"
"R4","RMCF0805JT1K00"
"R5","RMCF0805JT1K00"
"R6","RMCF0805JT1K00"
"R7","RMCF0805JT1K00"
"R8","RMCF0805JT1K00"
"R10","RMCF0805JT1K00"
"R12","RMCF0805JT1K00"
"R14","RMCF0805JT1K00"
"R16","RMCF0805JT1K00"
"R18","RMCF0805JT1K00"
"R20","RMCF0805JT1K00"
"R22","RMCF0805JT1K00"
"R24","RMCF0805JT1K00"
"R30","RMCF0805JT1K00"
"R31","RMCF0805JT1K00"
"R32","RMCF0805JT1K00"
"R36","RMCF0805JT1K00"
"R37","RMCF0805JT1K00"
"R38","RMCF0805JT1K00"
"R43","RMCF0805JT1K00"
"R45","RMCF0805JT1K00"
"R9","C25118"
"R11","C25118"
"R13","C25118"
"R15","C25118"
"R17","C25118"
"R19","C25118"
"R21","C25118"
"R23","C25118"
"R25","RMCF0805JT300R"
"R26","RMCF0805JT300R"
"R27","RMCF0805JT300R"
"R28","RCS080560R4FKEA"
"R29","RCS080560R4FKEA"
"R33","RMCF0805JT22K0"
"R34","RMCF0805JT22K0"
"R35","RMCF0805JT22K0"
"R39","RMCF0805JT22K0"
"R40","RMCF0805JT22K0"
"R41","RMCF0805JT22K0"
"R42","RMCF0805JT4K70"
"R44","RMCF0805JT4K70"
"S1","C411265"
"U1","114-83-640-41-134161 "
"U2","C21706"
"U3","C554416"
"U4","C269266"
"U5","C269266"
"U6","C269266"
"U7","C269266"
"U8","C269266"
"U9","C269266"
"U10","C269266"
"U11","C269266"
"U12","H11L1SR2M"
"U13","H11L1SR2M"
"U14","C54949"
"Y1","ECS-3961-240-AU-TR"
